sample_name	fastq1	fastq2	fastqdir
SPC_270	SPC_270_1.fq.gz	SPC_270_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
SCN_2744	SCN_2744_1.fq.gz	SCN_2744_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
CTX_2744	FTDP_2744_CTX_1.fq.gz	FTDP_2744_CTX_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
CTX_3389	FTDP_3389_CTX_1.fq.gz	FTDP_3389_CTX_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
HIP_2752	FTDP_2752_HIP_1.fq.gz	FTDP_2752_HIP_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
HIP_2325	FTDP_2325_HIP_1.fq.gz	FTDP_2325_HIP_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
CER_2752	FTDP_2752_CER_1.fq.gz	FTDP_2752_CER_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
CER_3389	FTDP_3389_CER_1.fq.gz	FTDP_3389_CER_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
SPC_984	SPC_984_1.fq.gz	SPC_984_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
F1703_CTX	F1703_CTX_1.fq.gz	F1703_CTX_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
F1718_SPC	F1718_SPC_1.fq.gz	F1718_SPC_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
F1703_HIP	F1703_HIP_1.fq.gz	F1703_HIP_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
CTX_104	CTX_104_1.fq.gz	CTX_104_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
THL_128	THL_128_1.fq.gz	THL_128_2.fq.gz	/mnt/gtklab01/linglab/tdp43/fastq/
A58_CKO	A58_CKO_1.fq.gz	A58_CKO_2.fq.gz	/mnt/gtklab01/linglab/external_datasets/tdp43_mog_mobp_ctx_p30/raw_reads/
B132_CKO	B132_CKO_1.fq.gz	B132_CKO_2.fq.gz	/mnt/gtklab01/linglab/external_datasets/tdp43_mog_mobp_ctx_p30/raw_reads/
